GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment1,com.dicegame,Player,2,96,3,13,0,22,3,12,0,7
assignment1,com.dicegame,Rule.Decision,0,33,0,0,0,6,0,1,0,1
assignment1,com.dicegame,Game.PlayerName,0,21,0,0,0,4,0,1,0,1
assignment1,com.dicegame,HumanPlayer,4,101,2,16,2,29,2,9,0,2
assignment1,com.dicegame,Dice,0,32,0,0,0,9,0,3,0,3
assignment1,com.dicegame,BotPlayer,0,59,0,10,0,16,0,7,0,2
assignment1,com.dicegame,App,7,40,0,0,3,13,1,6,1,6
assignment1,com.dicegame,Player.State,0,15,0,0,0,3,0,1,0,1
assignment1,com.dicegame,Game,9,186,1,21,1,44,1,20,0,10
assignment1,com.dicegame,Rule,0,82,2,18,0,19,2,12,0,4
assignment1,com.dicegame,View,32,179,4,13,11,43,4,15,1,8
